/Users/jessewest/Desktop/rv-finder/venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
=== PULLING LINKS ===
  Total: 64,550
  [  9.5%] 6,150/64,550 | ETA: 26min
  [  9.6%] 6,200/64,550 | ETA: 26min
  [  9.7%] 6,250/64,550 | ETA: 26min
  [  9.8%] 6,300/64,550 | ETA: 26min
  [  9.8%] 6,350/64,550 | ETA: 26min
  [  9.9%] 6,400/64,550 | ETA: 26min
  [ 10.0%] 6,450/64,550 | ETA: 26min
  [ 10.1%] 6,500/64,550 | ETA: 26min
  [ 10.1%] 6,550/64,550 | ETA: 26min
  [ 10.2%] 6,600/64,550 | ETA: 26min
  [ 10.3%] 6,650/64,550 | ETA: 26min
  [ 10.4%] 6,700/64,550 | ETA: 26min
  [ 10.5%] 6,750/64,550 | ETA: 26min
  [ 10.5%] 6,800/64,550 | ETA: 26min
  [ 10.6%] 6,850/64,550 | ETA: 26min
  [ 10.7%] 6,900/64,550 | ETA: 26min
  [ 10.8%] 6,950/64,550 | ETA: 26min
  [ 10.8%] 7,000/64,550 | ETA: 26min
  [ 10.9%] 7,050/64,550 | ETA: 26min
  [ 11.0%] 7,100/64,550 | ETA: 26min
  [ 11.1%] 7,150/64,550 | ETA: 26min
  [ 11.2%] 7,200/64,550 | ETA: 26min
  [ 11.2%] 7,250/64,550 | ETA: 26min
  [ 11.3%] 7,300/64,550 | ETA: 26min
  [ 11.4%] 7,350/64,550 | ETA: 26min
  [ 11.5%] 7,400/64,550 | ETA: 26min
  [ 11.5%] 7,450/64,550 | ETA: 26min
  [ 11.6%] 7,500/64,550 | ETA: 26min
  [ 11.7%] 7,550/64,550 | ETA: 26min
  [ 11.8%] 7,600/64,550 | ETA: 26min
  [ 11.9%] 7,650/64,550 | ETA: 26min
  [ 11.9%] 7,700/64,550 | ETA: 26min
  [ 12.0%] 7,750/64,550 | ETA: 26min
  [ 12.1%] 7,800/64,550 | ETA: 25min
  [ 12.2%] 7,850/64,550 | ETA: 25min
  [ 12.2%] 7,900/64,550 | ETA: 25min
  [ 12.3%] 7,950/64,550 | ETA: 25min
  [ 12.4%] 8,000/64,550 | ETA: 25min
  [ 12.5%] 8,050/64,550 | ETA: 25min
  [ 12.5%] 8,100/64,550 | ETA: 25min
  [ 12.6%] 8,150/64,550 | ETA: 25min
  [ 12.7%] 8,200/64,550 | ETA: 25min
  [ 12.8%] 8,250/64,550 | ETA: 25min
  [ 12.9%] 8,300/64,550 | ETA: 25min
  [ 12.9%] 8,350/64,550 | ETA: 25min
  [ 13.0%] 8,400/64,550 | ETA: 25min
  [ 13.1%] 8,450/64,550 | ETA: 25min
  [ 13.2%] 8,500/64,550 | ETA: 25min
  [ 13.2%] 8,550/64,550 | ETA: 25min
  [ 13.3%] 8,600/64,550 | ETA: 25min
  [ 13.4%] 8,650/64,550 | ETA: 25min
  [ 13.5%] 8,700/64,550 | ETA: 25min
  [ 13.6%] 8,750/64,550 | ETA: 25min
  [ 13.6%] 8,800/64,550 | ETA: 25min
  [ 13.7%] 8,850/64,550 | ETA: 25min
  [ 13.8%] 8,900/64,550 | ETA: 25min
  [ 13.9%] 8,950/64,550 | ETA: 25min
  [ 13.9%] 9,000/64,550 | ETA: 25min
  [ 14.0%] 9,050/64,550 | ETA: 25min
  [ 14.1%] 9,100/64,550 | ETA: 25min
  [ 14.2%] 9,150/64,550 | ETA: 25min
  [ 14.3%] 9,200/64,550 | ETA: 25min
  [ 14.3%] 9,250/64,550 | ETA: 25min
  [ 14.4%] 9,300/64,550 | ETA: 25min
  [ 14.5%] 9,350/64,550 | ETA: 25min
  [ 14.6%] 9,400/64,550 | ETA: 25min
  [ 14.6%] 9,450/64,550 | ETA: 25min
  [ 14.7%] 9,500/64,550 | ETA: 25min
  [ 14.8%] 9,550/64,550 | ETA: 25min
  [ 14.9%] 9,600/64,550 | ETA: 25min
  [ 14.9%] 9,650/64,550 | ETA: 25min
  [ 15.0%] 9,700/64,550 | ETA: 25min
  [ 15.1%] 9,750/64,550 | ETA: 25min
  [ 15.2%] 9,800/64,550 | ETA: 25min
  [ 15.3%] 9,850/64,550 | ETA: 25min
  [ 15.3%] 9,900/64,550 | ETA: 25min
  [ 15.4%] 9,950/64,550 | ETA: 25min
  [ 15.5%] 10,000/64,550 | ETA: 25min
  [ 15.6%] 10,050/64,550 | ETA: 25min
  [ 15.6%] 10,100/64,550 | ETA: 25min
  [ 15.7%] 10,150/64,550 | ETA: 24min
  [ 15.8%] 10,200/64,550 | ETA: 24min
  [ 15.9%] 10,250/64,550 | ETA: 24min
  [ 16.0%] 10,300/64,550 | ETA: 24min
  [ 16.0%] 10,350/64,550 | ETA: 24min
  [ 16.1%] 10,400/64,550 | ETA: 24min
  [ 16.2%] 10,450/64,550 | ETA: 24min
  [ 16.3%] 10,500/64,550 | ETA: 24min
  [ 16.3%] 10,550/64,550 | ETA: 24min
  [ 16.4%] 10,600/64,550 | ETA: 24min
  [ 16.5%] 10,650/64,550 | ETA: 24min
  [ 16.6%] 10,700/64,550 | ETA: 24min
  [ 16.7%] 10,750/64,550 | ETA: 24min
  [ 16.7%] 10,800/64,550 | ETA: 24min
  [ 16.8%] 10,850/64,550 | ETA: 24min
  [ 16.9%] 10,900/64,550 | ETA: 24min
  [ 17.0%] 10,950/64,550 | ETA: 24min
  [ 17.0%] 11,000/64,550 | ETA: 24min
  [ 17.1%] 11,050/64,550 | ETA: 24min
  [ 17.2%] 11,100/64,550 | ETA: 24min
  [ 17.3%] 11,150/64,550 | ETA: 24min
  [ 17.4%] 11,200/64,550 | ETA: 24min
  [ 17.4%] 11,250/64,550 | ETA: 24min
  [ 17.5%] 11,300/64,550 | ETA: 24min
  [ 17.6%] 11,350/64,550 | ETA: 24min
  [ 17.7%] 11,400/64,550 | ETA: 24min
  [ 17.7%] 11,450/64,550 | ETA: 24min
  [ 17.8%] 11,500/64,550 | ETA: 24min
  [ 17.9%] 11,550/64,550 | ETA: 24min
  [ 18.0%] 11,600/64,550 | ETA: 24min
  [ 18.0%] 11,650/64,550 | ETA: 24min
  [ 18.1%] 11,700/64,550 | ETA: 24min
  [ 18.2%] 11,750/64,550 | ETA: 24min
  [ 18.3%] 11,800/64,550 | ETA: 24min
  [ 18.4%] 11,850/64,550 | ETA: 24min
  [ 18.4%] 11,900/64,550 | ETA: 24min
  [ 18.5%] 11,950/64,550 | ETA: 24min
  [ 18.6%] 12,000/64,550 | ETA: 24min
  [ 18.7%] 12,050/64,550 | ETA: 24min
  [ 18.7%] 12,100/64,550 | ETA: 24min
  [ 18.8%] 12,150/64,550 | ETA: 24min
  [ 18.9%] 12,200/64,550 | ETA: 24min
  [ 19.0%] 12,250/64,550 | ETA: 24min
  [ 19.1%] 12,300/64,550 | ETA: 24min
  [ 19.1%] 12,350/64,550 | ETA: 23min
  [ 19.2%] 12,400/64,550 | ETA: 23min
  [ 19.3%] 12,450/64,550 | ETA: 23min
  [ 19.4%] 12,500/64,550 | ETA: 23min
  [ 19.4%] 12,550/64,550 | ETA: 23min
  [ 19.5%] 12,600/64,550 | ETA: 23min
  [ 19.6%] 12,650/64,550 | ETA: 23min
  [ 19.7%] 12,700/64,550 | ETA: 23min
  [ 19.8%] 12,750/64,550 | ETA: 23min
  [ 19.8%] 12,800/64,550 | ETA: 23min
  [ 19.9%] 12,850/64,550 | ETA: 23min
  [ 20.0%] 12,900/64,550 | ETA: 23min
  [ 20.1%] 12,950/64,550 | ETA: 23min
  [ 20.1%] 13,000/64,550 | ETA: 23min
  [ 20.2%] 13,050/64,550 | ETA: 23min
  [ 20.3%] 13,100/64,550 | ETA: 23min
  [ 20.4%] 13,150/64,550 | ETA: 23min
  [ 20.4%] 13,200/64,550 | ETA: 23min
  [ 20.5%] 13,250/64,550 | ETA: 23min
  [ 20.6%] 13,300/64,550 | ETA: 23min
  [ 20.7%] 13,350/64,550 | ETA: 23min
  [ 20.8%] 13,400/64,550 | ETA: 23min
  [ 20.8%] 13,450/64,550 | ETA: 23min
  [ 20.9%] 13,500/64,550 | ETA: 23min
  [ 21.0%] 13,550/64,550 | ETA: 23min
  [ 21.1%] 13,600/64,550 | ETA: 23min
  [ 21.1%] 13,650/64,550 | ETA: 23min
  [ 21.2%] 13,700/64,550 | ETA: 23min
  [ 21.3%] 13,750/64,550 | ETA: 23min
  [ 21.4%] 13,800/64,550 | ETA: 23min
  [ 21.5%] 13,850/64,550 | ETA: 23min
  [ 21.5%] 13,900/64,550 | ETA: 23min
  [ 21.6%] 13,950/64,550 | ETA: 23min
  [ 21.7%] 14,000/64,550 | ETA: 23min
  [ 21.8%] 14,050/64,550 | ETA: 23min
  [ 21.8%] 14,100/64,550 | ETA: 23min
  [ 21.9%] 14,150/64,550 | ETA: 23min
  [ 22.0%] 14,200/64,550 | ETA: 23min
  [ 22.1%] 14,250/64,550 | ETA: 23min
  [ 22.2%] 14,300/64,550 | ETA: 23min
  [ 22.2%] 14,350/64,550 | ETA: 23min
  [ 22.3%] 14,400/64,550 | ETA: 23min
  [ 22.4%] 14,450/64,550 | ETA: 23min
  [ 22.5%] 14,500/64,550 | ETA: 23min
  [ 22.5%] 14,550/64,550 | ETA: 23min
  [ 22.6%] 14,600/64,550 | ETA: 22min
  [ 22.7%] 14,650/64,550 | ETA: 22min
  [ 22.8%] 14,700/64,550 | ETA: 22min
  [ 22.9%] 14,750/64,550 | ETA: 22min
  [ 22.9%] 14,800/64,550 | ETA: 22min
  [ 23.0%] 14,850/64,550 | ETA: 22min
  [ 23.1%] 14,900/64,550 | ETA: 22min
  [ 23.2%] 14,950/64,550 | ETA: 22min
  [ 23.2%] 15,000/64,550 | ETA: 22min
  [ 23.3%] 15,050/64,550 | ETA: 22min
  [ 23.4%] 15,100/64,550 | ETA: 22min
  [ 23.5%] 15,150/64,550 | ETA: 22min
  [ 23.5%] 15,200/64,550 | ETA: 22min
  [ 23.6%] 15,250/64,550 | ETA: 22min
  [ 23.7%] 15,300/64,550 | ETA: 22min
  [ 23.8%] 15,350/64,550 | ETA: 22min
  [ 23.9%] 15,400/64,550 | ETA: 22min
  [ 23.9%] 15,450/64,550 | ETA: 22min
  [ 24.0%] 15,500/64,550 | ETA: 22min
  [ 24.1%] 15,550/64,550 | ETA: 22min
  [ 24.2%] 15,600/64,550 | ETA: 22min
  [ 24.2%] 15,650/64,550 | ETA: 22min
  [ 24.3%] 15,700/64,550 | ETA: 22min
  [ 24.4%] 15,750/64,550 | ETA: 22min
  [ 24.5%] 15,800/64,550 | ETA: 22min
  [ 24.6%] 15,850/64,550 | ETA: 22min
  [ 24.6%] 15,900/64,550 | ETA: 22min
  [ 24.7%] 15,950/64,550 | ETA: 22min
  [ 24.8%] 16,000/64,550 | ETA: 22min
  [ 24.9%] 16,050/64,550 | ETA: 22min
  [ 24.9%] 16,100/64,550 | ETA: 22min
  [ 25.0%] 16,150/64,550 | ETA: 22min
  [ 25.1%] 16,200/64,550 | ETA: 22min
  [ 25.2%] 16,250/64,550 | ETA: 22min
  [ 25.3%] 16,300/64,550 | ETA: 22min
